Player,Club,Age,Position,Nation,Value
Zakaria Aboukhlal,FC Toulouse,23,Attack,Morocco,9.00m
Thijs Dallinga,FC Toulouse,22,Attack,Netherlands,12.00m
Rhys Healey,FC Toulouse,28,Attack,England,2.50m
Ado Onaiwu,FC Toulouse,27,Attack,Japan,1.50m
Saïd Hamulic,FC Toulouse,22,Attack,Bosnia-Herzegovina,1.50m
Gauthier Gallon,ESTAC Troyes,30,Goalkeeper,France,2.00m
Mateusz Lis,ESTAC Troyes,26,Goalkeeper,Poland,900k
Jessy Moulin,ESTAC Troyes,37,Goalkeeper,France,200k
Jackson Porozo,ESTAC Troyes,22,Defender,Ecuador,3.00m
Erik Palmer-Brown,ESTAC Troyes,26,Defender,United States,2.50m
Yoann Salmier,ESTAC Troyes,30,Defender,French Guiana,2.00m
Tanguy Zoukrou,ESTAC Troyes,20,Defender,France,1.00m
Adil Rami,ESTAC Troyes,37,Defender,France,250k
Eric N'Jo,ESTAC Troyes,19,Defender,France,200k
Yasser Larouci,ESTAC Troyes,22,Defender,France,3.50m
Abdu Conté,ESTAC Troyes,25,Defender,Portugal,2.00m
Thierno Baldé,ESTAC Troyes,21,Defender,France,4.00m
Andreas Bruus,ESTAC Troyes,24,Defender,Denmark,2.00m
Lucien Agoumé,ESTAC Troyes,21,midfield,France,7.00m
Rominigue Kouamé,ESTAC Troyes,26,midfield,Mali,4.50m
Florian Tardieu,ESTAC Troyes,31,midfield,France,2.00m
Xavier Chavalerin,ESTAC Troyes,32,midfield,France,1.50m
Ante Palaversa,ESTAC Troyes,23,midfield,Croatia,700k
Jeff Reine-Adélaïde,ESTAC Troyes,25,midfield,France,5.00m
Alexis Tibidi,ESTAC Troyes,19,Attack,France,2.00m
Papa Ndiaga Yade,ESTAC Troyes,23,Attack,Senegal,1.20m
Levi Lumeka,ESTAC Troyes,24,Attack,England,200k
Wilson Odobert,ESTAC Troyes,18,Attack,France,6.00m
Rony Lopes,ESTAC Troyes,27,Attack,Portugal,4.00m
Renaud Ripart,ESTAC Troyes,30,Attack,France,2.50m
Mama Baldé,ESTAC Troyes,27,Attack,Guinea-Bissau,8.00m
Iké Ugbo,ESTAC Troyes,24,Attack,Canada,3.00m
Mykola Kukharevych,ESTAC Troyes,21,Attack,Ukraine,500k
Marco Bizot,Stade Brestois 29,32,Goalkeeper,Netherlands,3.50m
Joaquín Blázquez,Stade Brestois 29,22,Goalkeeper,Argentina,400k
Grégoire Coudert,Stade Brestois 29,24,Goalkeeper,France,150k
Lilian Brassier,Stade Brestois 29,23,Defender,France,5.00m
Brendan Chardonnet,Stade Brestois 29,28,Defender,France,5.00m
Achraf Dari,Stade Brestois 29,24,Defender,Morocco,2.00m
Christophe Hérelle,Stade Brestois 29,30,Defender,Martinique,2.00m
Josué Escartin,Stade Brestois 29,20,Defender,France,150k
Jean-Kévin Duverne,Stade Brestois 29,25,Defender,France,4.00m
Bradley Locko,Stade Brestois 29,21,Defender,France,2.50m
Kenny Lala,Stade Brestois 29,31,Defender,France,1.50m
Noah Fadiga,Stade Brestois 29,23,Defender,Senegal,1.20m
Pierre Lees-Melou,Stade Brestois 29,30,midfield,France,4.00m
Haris Belkebla,Stade Brestois 29,29,midfield,Algeria,3.00m
Mahdi Camara,Stade Brestois 29,24,midfield,France,3.00m
Hugo Magnetti,Stade Brestois 29,25,midfield,France,2.00m
Félix Lemaréchal,Stade Brestois 29,19,midfield,France,1.00m
Romain Del Castillo,Stade Brestois 29,27,midfield,France,3.00m
Mathias Pereira Lage,Stade Brestois 29,26,midfield,France,2.00m
Jérémy Le Douaron,Stade Brestois 29,25,Attack,France,4.50m
Franck Honorat,Stade Brestois 29,26,Attack,France,10.00m
Alberth Elis,Stade Brestois 29,27,Attack,Honduras,2.50m
Karamoko Dembélé,Stade Brestois 29,20,Attack,England,500k
Taïryk Arconte,Stade Brestois 29,19,Attack,France,500k
Steve Mounié,Stade Brestois 29,28,Attack,Benin,5.00m
Loïc Rémy,Stade Brestois 29,36,Attack,France,150k
Ionut Radu,AJ Auxerre,26,Goalkeeper,Romania,3.50m
