Player,Club,Age,Position,Nation,Value
Rico Lewis,Manchester City,18,Defender,England,20000000.0
Riyad Mahrez,Manchester City,32,Attack,Algeria,20000000.0
Ilkay Gündogan,Manchester City,32,midfield,Germany,20000000.0
Nicola Zalewski,AS Roma,21,midfield,Poland,20000000.0
André Almeida,Valencia CF,23,midfield,Portugal,20000000.0
Granit Xhaka,Arsenal FC,30,midfield,Switzerland,20000000.0
Philip Billing,AFC Bournemouth,27,midfield,Denmark,20000000.0
Jefferson Lerma,AFC Bournemouth,28,midfield,Colombia,20000000.0
Youssef En-Nesyri,Sevilla FC,26,Attack,Morocco,20000000.0
Ilya Zabarnyi,AFC Bournemouth,20,Defender,Ukraine,20000000.0
Bryan Cristante,AS Roma,28,midfield,Italy,20000000.0
Ivan Ilic,Torino FC,22,midfield,Serbia,19000000.0
Nico Elvedi,Borussia Mönchengladbach,26,Defender,Switzerland,18000000.0
Ritsu Doan,SC Freiburg,25,Attack,Japan,18000000.0
Mattias Svanberg,VfL Wolfsburg,24,midfield,Sweden,18000000.0
Patrick Wimmer,VfL Wolfsburg,22,Attack,Austria,18000000.0
Odilon Kossounou,Bayer 04 Leverkusen,22,Defender,Cote d'Ivoire,18000000.0
Adam Hlozek,Bayer 04 Leverkusen,20,Attack,Czech Republic,18000000.0
Matthias Ginter,SC Freiburg,29,Defender,Germany,18000000.0
João Gomes,Wolverhampton Wanderers,22,midfield,Brazil,18000000.0
Mathías Olivera,SSC Napoli,25,Defender,Uruguay,18000000.0
Yunus Musah,Valencia CF,20,midfield,United States,18000000.0
Armand Laurienté,US Sassuolo,24,Attack,France,18000000.0
Luis Alberto,SS Lazio,30,midfield,Spain,18000000.0
Kepa Arrizabalaga,Chelsea FC,28,Goalkeeper,Spain,18000000.0
Trevoh Chalobah,Chelsea FC,23,Defender,England,18000000.0
Georginio Rutter,Leeds United,21,Attack,France,18000000.0
Lloyd Kelly,AFC Bournemouth,24,Defender,England,18000000.0
Thilo Kehrer,West Ham United,26,Defender,Germany,18000000.0
Mohammed Salisu,Southampton FC,24,Defender,Ghana,18000000.0
Robin Koch,Leeds United,26,Defender,Germany,18000000.0
Alessio Romagnoli,SS Lazio,28,Defender,Italy,18000000.0
Yves Bissouma,Tottenham Hotspur,26,midfield,Mali,18000000.0
Moussa Niakhaté,Nottingham Forest,27,Defender,Senegal,18000000.0
Denis Zakaria,Chelsea FC,26,midfield,Switzerland,18000000.0
Gianluca Mancini,AS Roma,27,Defender,Italy,18000000.0
Wilfried Gnonto,Leeds United,19,Attack,Italy,18000000.0
Moise Kean,Juventus FC,23,Attack,Italy,18000000.0
Yoane Wissa,Brentford FC,26,Attack,DR Congo,18000000.0
Dean Henderson,Manchester United,26,Goalkeeper,England,18000000.0
James Tarkowski,Everton FC,30,Defender,England,18000000.0
Pascal Struijk,Leeds United,23,Defender,Netherlands,18000000.0
Domenico Berardi,US Sassuolo,28,Attack,Italy,18000000.0
Alex Meret,SSC Napoli,26,Goalkeeper,Italy,18000000.0
