Player,Club,Age,Position,Nation,Value,League
Hamed Junior Traorè,AFC Bournemouth,23,midfield,Cote d'Ivoire,22000000.0,Premier League
Christian Eriksen,Manchester United,31,midfield,Denmark,22000000.0,Premier League
Thomas Lemar,Atlético de Madrid,27,midfield,France,22000000.0,La Liga
Curtis Jones,Liverpool FC,22,midfield,England,22000000.0,Premier League
Gianluca Scamacca,West Ham United,24,Attack,Italy,22000000.0,Premier League
Luis Sinisterra,Leeds United,24,Attack,Colombia,22000000.0,Premier League
Jordan Pickford,Everton FC,29,Goalkeeper,England,22000000.0,Premier League
Pablo Fornals,West Ham United,27,midfield,Spain,22000000.0,Premier League
Mathias Jensen,Brentford FC,27,midfield,Denmark,22000000.0,Premier League
Kurt Zouma,West Ham United,28,Defender,France,22000000.0,Premier League
Tyrick Mitchell,Crystal Palace,23,Defender,England,22000000.0,Premier League
Exequiel Palacios,Bayer 04 Leverkusen,24,midfield,Argentina,22000000.0,Bundesliga
Arthur Theate,Stade Rennais FC,23,Defender,Belgium,22000000.0,Ligue 1
Xaver Schlager,RB Leipzig,25,midfield,Austria,22000000.0,Bundesliga
Djibril Sow,Eintracht Frankfurt,26,midfield,Switzerland,22000000.0,Bundesliga
Filip Kostic,Juventus FC,30,midfield,Serbia,22000000.0,Serie A
